Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MSOR,485B,Team Development,Seminar,02/03/2021 - 03/17/2021,1.5 units,W 8:30 AM - 11:15 AM,Web/Distance Learning,Tracey Messer,30,19,11
MSOR,492,Python Progr w Appl in Supply Chain,Lecture,03/24/2021 - 05/05/2021,1.5 units,W 7:00 PM - 9:45 PM,Peter B Lewis 03,John Ours,30,18,12
MSOR,492,Python Progr w Appl in Supply Chain,Lecture,03/24/2021 - 05/05/2021,1.5 units,W 7:00 PM - 9:45 PM,Web/Distance Learning,John Ours,30,18,12
MSTP,400,Research Rotation in Medical Scientist Training Program,Research,02/01/2021 - 05/07/2021,0 - 9 units,TBA ,To Be Announced,"Agata Exner,Clifford Harding,Derek Abbott",999,1,998
MUAP,10,Progress Jury Examination,Performance,02/01/2021 - 05/07/2021,0 units,TBA ,To Be Announced,Staff,999,12,987
MUAP,11,Recital Class,Performance,02/01/2021 - 05/07/2021,0 units,TBA ,To Be Announced,Eric Charnofsky,100,81,19
MUAP,11,Recital Class,Performance,02/01/2021 - 05/07/2021,0 units,TBA ,Web/Distance Learning,Eric Charnofsky,100,81,19
MUAP,20,Level 300 Applied Music Entrance Jury Exam,Performance,02/01/2021 - 05/07/2021,0 units,TBA ,To Be Announced,Staff,999,19,980
MUAP,30,BA Performance Exit Jury Examination,Performance,02/01/2021 - 05/07/2021,0 units,TBA ,To Be Announced,Staff,999,10,989
MUAP,35,BS Music Education Jury Examination,Performance,02/01/2021 - 05/07/2021,0 units,TBA ,To Be Announced,Staff,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Heidi Ruby-Kushious,999,1,998
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Stephen Sims,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Gerardo Teissonniere,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Carol Ruzicka,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Sean Schulze,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Denise Howell,999,1,998
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Dean Southern,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Lisa Nelson,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Bryan Dumm,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Kathleen Horvath,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Don Better,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Cynthia Watson,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Daniel Gilbert,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Mark Demio,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Loren Toplitz,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Meghan Guegold,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Paul Ferguson,999,0,999
MUAP,121,Principal Performance Area I,Performance,02/01/2021 - 05/07/2021,2 units,TBA ,To Be Announced,Ryan Scherber,999,0,999
